	logFC	logCPM	F	PValue	FDR
TMEM87B	13.1774793310445	7.42806646543978	1474.15709375671	2.67275850229377e-20	9.70070822183189e-20
ZNF280D	13.1215659575139	6.49447896499765	1473.92913831994	2.67931998715462e-20	9.72041751789999e-20
MTF2	13.5902197638479	6.02778648845282	1474.03527892611	2.67968671538995e-20	9.72041751789999e-20
XYLT2	15.1438418990603	4.54031519215007	1476.47543389416	2.68256438777446e-20	9.72813724194599e-20
AIDA	13.2352239275071	6.14785176562891	1473.67613919689	2.68516390258688e-20	9.73484421555171e-20
PTPLAD1	11.9275154763631	7.63918498595005	1472.49036878117	2.70287620947677e-20	9.79632234649511e-20
MICALL1	14.8340387995511	4.45378441958816	1475.78158043402	2.70384512054699e-20	9.79709821875472e-20
ZNF436	15.3829712633651	4.95233488412551	1473.96211835261	2.70579916883237e-20	9.80128159704948e-20
RCL1	14.8412620201567	4.2866259652869	1476.81754349177	2.70650999644236e-20	9.80128159704948e-20
ELOVL1	15.0262444674283	5.60252171383617	1472.88125325809	2.70770120803471e-20	9.80286024521131e-20
ZNF354B	15.1643797101675	3.90837475764821	1480.18708262818	2.7105044857656e-20	9.81027264940092e-20
CXXC1	15.9871604616807	3.81999694871491	1480.53044341025	2.71197163757258e-20	9.81284635741694e-20
ITGA3	13.9724779588957	6.53916655785449	1471.4113857888	2.72533070853111e-20	9.85843569287215e-20
HECA	13.7961820445127	6.69983884962708	1471.24611746591	2.72764029991285e-20	9.86404108458314e-20
GEMIN6	15.3785996160389	4.03811652702138	1476.97635573031	2.73569559808607e-20	9.89041592411116e-20
NCOA5	13.5538485703295	5.74907450517475	1470.91393673029	2.73992068223701e-20	9.90202852767761e-20
C9orf89	18.6291077479571	1.83988251698961	1488.86823486861	2.74043634396099e-20	9.90202852767761e-20
MAN1B1	14.4471643135398	5.19488336852884	1471.4602728044	2.74119643269479e-20	9.90202852767761e-20
GORASP2	13.3106202168606	6.73789252530593	1470.25543380672	2.74559918957071e-20	9.91517303323269e-20
TTC12	14.9060238195123	4.45042554997286	1473.12786579483	2.75214183675292e-20	9.93603585513662e-20
SRSF6	11.3849464318689	8.36500724121609	1469.71615944808	2.75335565786261e-20	9.93765380517209e-20
SLC24A6	16.309177868401	3.66436215266593	1479.95262037569	2.76416040468629e-20	9.97387764593367e-20
EIF2C3	14.6434192642828	4.79980076170832	1470.94130862397	2.76690561918738e-20	9.97828595889407e-20
VAMP4	14.7839028602632	5.00505433992094	1470.40353714034	2.76691972925955e-20	9.97828595889407e-20
SFT2D2	16.0933436143709	3.61819598837808	1480.01378808692	2.77681067164101e-20	1.00111738075635e-19
VPS37B	15.5938168588447	5.35796994347172	1469.36805303996	2.77938351632444e-20	1.00176669420647e-19
NONO	10.4282929619406	8.72605773389161	1467.52562274759	2.79442113947801e-20	1.00690705078526e-19
SH3RF1	14.3336460143902	6.71332508495815	1467.48035045208	2.79839611562095e-20	1.00805948333734e-19
FAR2	14.8725218540879	5.91553673335861	1467.73144041758	2.79938327530072e-20	1.00813528108013e-19
PUS10	15.9039002106897	3.82581573051558	1475.5343667095	2.80235744236752e-20	1.00892641454891e-19
BANF1	16.2470421802687	3.76153747737068	1475.67402615025	2.81874750727854e-20	1.01454586514055e-19
FBXL4	14.2816780339512	4.96203243530202	1467.69456171128	2.82055492735711e-20	1.01491495431572e-19
OTUB1	15.7421736838771	4.42779228912979	1469.64778568364	2.82271558595499e-20	1.01541090881679e-19
MYO9A	13.3050816059944	6.57235083847984	1466.12609626114	2.82401047903497e-20	1.01559523434178e-19
TARBP2	16.3033549198062	2.79486968386494	1500.40279149339	2.83118298978412e-20	1.01789263225507e-19
METTL25	16.9832378509099	3.41409956227524	1481.05955584702	2.8373371697524e-20	1.01982273957952e-19
CHID1	15.6842584836025	3.99563717602135	1471.60936061984	2.84157984008438e-20	1.02106491540574e-19
NF1	11.3257494488669	7.932665931745	1464.96265219087	2.84341930101796e-20	1.02144309736817e-19
DNAJA3	13.9796264689252	5.52407631040036	1465.42496223186	2.84725958499004e-20	1.02253962793541e-19
CREBZF	12.830629613884	6.82400455555257	1464.81857399233	2.84865558686727e-20	1.02275797681744e-19
USP6NL	12.911419615718	6.14650665833946	1464.76076298956	2.85281751516863e-20	1.0239689858787e-19
DOLPP1	16.5916934942262	4.40723028135957	1468.88959431568	2.85712521431219e-20	1.02523163274973e-19
SNRNP25	17.0256588279318	3.1439112610639	1485.99717604495	2.85989006026822e-20	1.02594010757936e-19
SERP1	13.0581799709385	7.45099511579069	1464.00400781179	2.86261951456125e-20	1.02663549818985e-19
PSMA5	12.7556111256235	6.95548297061263	1463.9184533542	2.86550013371597e-20	1.02738470263811e-19
SLC25A44	15.3647784859931	4.78301128054055	1465.46641262627	2.87385544035454e-20	1.03009582326323e-19
UBE2Q1	13.2160987565889	6.74913356850218	1463.46430976301	2.87475415314049e-20	1.03013346641663e-19
FAM177A1	14.0888118899617	6.76835101732336	1463.18570004494	2.88032812893074e-20	1.03184595046625e-19
HIBCH	14.6417880425342	6.1439057193251	1463.13149834807	2.88544460021265e-20	1.03339363869095e-19
SLC35B3	14.8870419576211	5.56420072841587	1463.30190206081	2.88879630518187e-20	1.03430861365395e-19
RHOBTB2	15.3466446949232	3.48058777349918	1478.60580616095	2.89617653608717e-20	1.03666506513721e-19
SLC52A2	16.2315238305601	3.51185965095149	1475.54321983585	2.89846060435732e-20	1.03719658626837e-19
MYADM	15.5160890385763	5.37056044830242	1463.00562714371	2.90079806199908e-20	1.03752670835767e-19
RAD1	14.4232482711412	5.1961725001462	1463.09134088233	2.90098191280529e-20	1.03752670835767e-19
ZC3H8	13.4959649887234	5.08015298770691	1463.47910212451	2.90466474338226e-20	1.03855767780601e-19
SNRPG	13.9504725068046	5.69290413612302	1462.23357767952	2.90603795919845e-20	1.03876250819159e-19
TMEM134	18.7975205359587	1.28128467659381	1395.18494234479	2.91365559362618e-20	1.04119867702847e-19
RNASEH1	14.2863775888507	5.17505598530855	1462.17958669156	2.9196519693997e-20	1.04305430528045e-19
PIK3R2	13.9104898120341	5.52262483979707	1461.12132382591	2.93159601207023e-20	1.04703314916509e-19
PARK7	12.582619220501	7.56845509580194	1460.41368493732	2.93322436415733e-20	1.04732652056115e-19
FBXO4	16.3087936590023	3.64549287662862	1471.30030044983	2.93505477815849e-20	1.0476918582431e-19
BCAP31	12.8326112010886	6.90710399811373	1460.26248185445	2.93756787249189e-20	1.04830061636162e-19
YDJC	15.9949180462026	3.21734760813812	1480.9756614161	2.94020688363354e-20	1.04895396214073e-19
NUP155	13.1857743967517	6.28240675121375	1460.05802940618	2.94423857269337e-20	1.05010366680372e-19
RIC8B	14.4468789748104	4.98955253739911	1460.79990481165	2.95306614568637e-20	1.05276538109627e-19
MALT1	13.3665050743629	6.37981670028745	1459.55179414892	2.95398867375848e-20	1.05276538109627e-19
TRAPPC8	13.9176709678553	6.70197775642214	1459.45637740731	2.95451710234564e-20	1.05276538109627e-19
TAB2	13.2929168112961	6.86855021499038	1459.41122098712	2.95494589978713e-20	1.05276538109627e-19
FAM200A	16.009979002269	3.4687413750387	1472.87662433259	2.96520279083844e-20	1.0556734710354e-19
MRPL40	16.0721404792075	3.73957434543647	1468.26238185983	2.96543608563473e-20	1.0556734710354e-19
ZBTB9	16.0421545449185	2.98512378892321	1487.09714947975	2.96554855951543e-20	1.0556734710354e-19
PPTC7	15.5696200954649	5.1819688691596	1459.96680646596	2.96762725074433e-20	1.05612377536086e-19
TTLL12	14.2647295484694	5.68157439139009	1458.89194046777	2.97387003587871e-20	1.05805535075849e-19
DEAF1	16.4269817023743	2.742689681848	1494.11256176257	2.97521182752684e-20	1.05813947131719e-19
ARL3	15.9103337367888	3.52182195105978	1471.4404960448	2.97573701387451e-20	1.05813947131719e-19
USP43	16.0824781409317	3.68839201150768	1468.37243320407	2.98014899773201e-20	1.05941807289958e-19
CAMTA2	15.6760908838587	4.27434066160183	1462.30098699586	2.9816697926792e-20	1.05966846219012e-19
ZSWIM7	16.1906707747523	3.85641425506757	1465.75488616579	2.99015235446393e-20	1.06239220937825e-19
EXTL3	14.9480714922657	4.23828472640296	1462.28703884581	2.99110532928409e-20	1.06243995809464e-19
TIMMDC1	14.2634676626402	6.08447313194437	1457.67962379959	2.99443605993336e-20	1.06333202795828e-19
DVL2	16.1322068257415	3.64636504277075	1467.83632048522	3.00113667908016e-20	1.06527156771048e-19
LACE1	17.6297014932678	2.89769576565089	1484.9263739618	3.00153950467464e-20	1.06527156771048e-19
PFDN4	13.699998208804	5.06936626198034	1458.39040206353	3.00429624962975e-20	1.06595847523085e-19
SYNRG	13.1749002752177	6.42412691851901	1456.79866125752	3.00919755205346e-20	1.06740571271118e-19
XRCC4	15.583097570155	3.9826161907536	1463.1413110927	3.01285892380279e-20	1.06841245825236e-19
C17orf59	18.3246483913282	1.82214636853324	1482.2943892536	3.01653560089198e-20	1.06942407986826e-19
EBNA1BP2	13.0296142125995	6.59390035566571	1456.26700201206	3.01966601847328e-20	1.07024154161018e-19
TMEM150A	17.6492163886152	1.7690031990933	1483.11581937596	3.02177717744041e-20	1.07031001130565e-19
PRDM15	15.3227272418641	4.15644890916058	1461.124089423	3.02196804461229e-20	1.07031001130565e-19
TMEM68	15.4663450292707	4.62136975233052	1458.61760623431	3.02233314695677e-20	1.07031001130565e-19
ACTL6A	13.2666142353181	6.39839357498711	1456.08789773085	3.02384509730681e-20	1.07055334200614e-19
MLEC	10.1086612663085	9.52753333447857	1455.83888569125	3.02529671744367e-20	1.07077518668397e-19
SPINT1	13.4872903921652	7.11672629223582	1455.55150525451	3.03276099997084e-20	1.0731244552514e-19
SSH2	13.442740598969	6.2960022273382	1455.56724614038	3.03538525392652e-20	1.07358016813367e-19
CLPB	15.120960493102	4.54318863927054	1458.15648664008	3.0357032260194e-20	1.07358016813367e-19
POLR2C	14.4165048412525	5.37475434918421	1455.91642566567	3.04053124625015e-20	1.07481816496265e-19
SNX9	13.5925321312216	7.18743255901875	1455.15971251354	3.0408600830132e-20	1.07481816496265e-19
SLC31A1	14.1526948790534	6.10691449939835	1455.2248399011	3.0447787826209e-20	1.07591025917878e-19
TATDN2	14.3008778260085	5.38098122696149	1455.01741867535	3.05899267541226e-20	1.08063870261774e-19
KIAA0556	14.3376723514905	5.10591724940621	1455.26176003457	3.06240787110715e-20	1.08155079616598e-19
ABCF1	13.1115174734974	6.71107798712519	1453.93781981343	3.06763526784581e-20	1.0831022345313e-19
KDM1B	13.999216167197	5.85844126731237	1454.13220039672	3.06877238889544e-20	1.08320905182143e-19
MCCC1	13.9748088856749	6.02676537666061	1453.91473659467	3.07226450357247e-20	1.0841468458909e-19
OSTC	12.6733676658558	7.22077554188452	1453.48215427236	3.07548512382325e-20	1.08498835069589e-19
PANK1	14.4952921819633	5.58448565314303	1453.91166419103	3.07829909858235e-20	1.08568597827447e-19
TMEM185A	16.3676909971115	3.48637609463117	1466.87925703489	3.08204826167429e-20	1.08643376242624e-19
SYTL4	16.5315998573984	5.0763369672915	1455.31574749518	3.08209346887542e-20	1.08643376242624e-19
PPP1R37	15.5908880370941	4.02476394615471	1458.93727821831	3.08984032546809e-20	1.08886879131823e-19
MYO1C	13.1448262978278	7.28248595988077	1452.5507209607	3.09485647882544e-20	1.09029428143124e-19
RAB13	14.6443932909317	4.77680151858991	1454.47735833073	3.09556547274374e-20	1.09029428143124e-19
ZNF566	15.2845900458293	3.97316913108835	1459.35908321958	3.0967163248778e-20	1.09040372166546e-19
GATAD1	13.2946239277896	6.10609882783629	1452.53251081828	3.09956693725507e-20	1.09097142162904e-19
SEMA4D	14.0625465814725	5.20843195343343	1453.31902838599	3.10000971027653e-20	1.09097142162904e-19
ATG10	16.979241265818	2.84227583982163	1482.22399811364	3.10247002144796e-20	1.09154129597108e-19
RPL7L1	13.8119239616821	5.57483986120959	1452.69065262209	3.10331419198953e-20	1.09154240915534e-19
GNA12	15.1149358003234	4.1373269322024	1457.50462313302	3.1062320487514e-20	1.09227271093862e-19
FAM73A	14.5265213266926	5.5582600624494	1452.3347832708	3.11198362092989e-20	1.09399879241736e-19
STK11IP	16.8399669684933	3.25218477931608	1470.27462518562	3.1163710521764e-20	1.09524451357155e-19
IL17RE	16.9426374153555	3.56657045850892	1464.51622516518	3.11921628864508e-20	1.09594770466498e-19
ATRN	14.1191068929659	6.17995038477053	1451.53595191195	3.12107287416189e-20	1.09630324313253e-19
RXRB	15.8533331028577	4.12217268236416	1456.31270622312	3.12814324205874e-20	1.0984894788604e-19
PORCN	18.3604618291918	1.21362703618141	1368.80431778262	3.13043003425079e-20	1.09899516944931e-19
GNL2	12.9733623420987	6.60017568551032	1450.77478458094	3.13509867911829e-20	1.10033655371218e-19
CCP110	13.4980633203699	5.5561007111444	1450.9262828867	3.14234221889883e-20	1.10258068826948e-19
AGAP1	13.5103199920955	6.66217060069778	1449.92111986652	3.15317150275658e-20	1.10608143065615e-19
KIAA0226	15.086024900727	4.82089454844751	1451.43173349195	3.15778068648626e-20	1.10739896054864e-19
HN1L	12.7682962641504	6.75315244200109	1449.57534600266	3.16050276261229e-20	1.10805416952849e-19
NUP88	13.6823717178786	5.98755627109528	1449.65704922618	3.16265837311195e-20	1.10851047865568e-19
EHMT2	14.0981641211741	4.95373001765945	1450.77634114557	3.16671094577297e-20	1.10963124636035e-19
ZNF197	14.4410418221088	5.16152715773186	1450.11161434568	3.17010244179462e-20	1.11051982704595e-19
TESK1	16.4568589543499	3.77899193912904	1458.43577255535	3.17236223874278e-20	1.11095546549295e-19
RALGPS2	13.9313055545403	6.67321004877212	1449.00584743237	3.17305794790227e-20	1.11095546549295e-19
SDHAF1	17.9133507856546	2.44098219174576	1485.73152315874	3.17452072575856e-20	1.1111678667643e-19
RCBTB1	14.0549693720559	5.02596973640912	1450.16679694476	3.17658796942171e-20	1.11159167579198e-19
TMED10	11.8022638777918	8.6349927400106	1448.4660946016	3.18174813549241e-20	1.11309727899073e-19
AP1AR	13.6070502829196	6.75773143752689	1448.14850098712	3.19163747182618e-20	1.11601037154817e-19
NSUN5	15.0099942424227	4.1697957140761	1453.31228819882	3.19179482177887e-20	1.11601037154817e-19
MAN2A2	13.5956355763812	5.82883679479885	1447.92096753107	3.20278342204775e-20	1.11950091710687e-19
RNMTL1	15.7387288761496	3.85805124069542	1455.41890995729	3.2035028940095e-20	1.11950091710687e-19
LZIC	15.0257633378681	5.43241183807129	1448.18947296348	3.20564369540237e-20	1.11992253423868e-19
ST14	12.4269782983151	8.19873469927908	1447.35463162462	3.20643511613448e-20	1.11992253423868e-19
SIVA1	17.7691860457089	2.29849432503264	1487.49819014366	3.20848249856059e-20	1.12033614067307e-19
WBP4	14.5321078801203	5.15702324687887	1448.17360239645	3.21267749557898e-20	1.12149922579665e-19
ZNF770	12.5686084814352	6.6096732186508	1447.14499523204	3.21404803563724e-20	1.1216759735019e-19
SNRK	14.8359239558066	6.41497000463441	1446.76140955018	3.22482708864095e-20	1.12513523611481e-19
EXOSC1	16.0469383885046	3.80332604487789	1454.92269079465	3.22884327196022e-20	1.12623372283719e-19
ZNF451	12.13431853833	7.25595097764641	1446.19889099188	3.23303184410846e-20	1.12698476149432e-19
HTRA2	16.6612765652376	3.29187627759452	1463.60676424276	3.2332996737849e-20	1.12698476149432e-19
PLIN3	15.8612947860238	4.91602420284427	1448.09501439374	3.23360139595103e-20	1.12698476149432e-19
ADCK2	16.4567184272284	3.64028836078321	1457.05671973437	3.23711261194619e-20	1.12790562658925e-19
RREB1	12.987552932039	7.18059085618707	1445.62043994267	3.24566387075959e-20	1.13058162583437e-19
EMC7	15.6844104317384	4.85431101462727	1447.14761420502	3.25477755844567e-20	1.13337503075259e-19
RANBP10	15.0984192516151	4.19215835528476	1450.11666778354	3.25542962835784e-20	1.13337503075259e-19
LRRC28	16.4945763070973	3.114973181724	1467.56632228299	3.26105387951123e-20	1.13502864848958e-19
IP6K2	13.9280210149241	6.46417113628163	1444.81984772796	3.26669223506302e-20	1.13668628736952e-19
POLR3E	13.6382586728567	5.66698318302934	1444.76328046232	3.27563545401943e-20	1.13949269787505e-19
FAM69A	16.2388337014853	4.4806603438191	1447.85122540299	3.27784166864531e-20	1.13995463604897e-19
MTPN	13.3962028489654	6.68465063590835	1444.21581323171	3.27929414653535e-20	1.1401542654134e-19
TMEM14B	14.9271437466678	5.22666403475226	1444.64343835595	3.28943608830847e-20	1.14307041883507e-19
PTPN1	13.8017576608191	6.38190419310457	1443.8137183132	3.28944295735341e-20	1.14307041883507e-19
PET117	16.6295872501083	3.17730223917485	1463.58497620291	3.29334139397126e-20	1.14411878887454e-19
HADHA	12.4208044527262	8.58680777371333	1442.38755489018	3.31741812484447e-20	1.15201619200913e-19
XXYLT1	16.0952799023844	3.686961237549	1452.58183897462	3.31784923779192e-20	1.15201619200913e-19
MFSD8	14.6120917901968	5.14458379125859	1443.28663468583	3.32267886915526e-20	1.15338456921011e-19
METTL21A	16.2514051917159	3.57351266182366	1453.98285660301	3.32459636721992e-20	1.15374161096651e-19
ESF1	13.0527201121145	6.32838777372465	1442.19053627074	3.32632618691822e-20	1.15403334883752e-19
WHSC1L1	12.3432351434995	7.2524812781968	1441.65120136654	3.33571872001801e-20	1.15698271691913e-19
BPGM	16.3170886969283	3.98160508173567	1448.51785315923	3.33694886845166e-20	1.15710017001427e-19
C8orf33	14.7807548680237	4.97405830438076	1442.85968315449	3.33985797128004e-20	1.15756117508646e-19
TUBE1	15.322291950495	4.12534329624542	1446.69131263844	3.34099482601564e-20	1.15756117508646e-19
ZHX3	14.39718174425	5.42450995167252	1442.07617240848	3.34146033485351e-20	1.15756117508646e-19
TMEM127	14.5537763633466	6.26114029344365	1441.62546386989	3.34184584563447e-20	1.15756117508646e-19
NUDT8	19.2455763426419	1.54062869548181	1409.13938275157	3.34708627780855e-20	1.15906704374806e-19
PPP1R13B	14.8944398132643	5.3842676134333	1441.63826680907	3.35331415700797e-20	1.16090218258687e-19
UBAC1	15.7195485564768	4.7548340821884	1443.08324935166	3.35417457793418e-20	1.16090218258687e-19
POR	14.7115820583032	5.41995290699561	1441.28785189503	3.36015573425133e-20	1.16266225739398e-19
IQSEC1	14.039814572549	5.1922159193366	1441.545884772	3.36130418495514e-20	1.16274965395876e-19
MMGT1	14.4451610820222	5.8228134101612	1440.8248121342	3.36317090138221e-20	1.16288912922563e-19
VTI1B	14.2531160266972	6.31588231320815	1440.58815050242	3.36349933824871e-20	1.16288912922563e-19
YPEL5	13.9018325354912	6.48386244251503	1440.42464916721	3.36698091525923e-20	1.16363336836312e-19
C4orf3	13.9599711856724	6.18733122032955	1440.45016062832	3.36744505090675e-20	1.16363336836312e-19
TMEM161B	14.590512199777	5.3905802483024	1440.71615284421	3.37409148279882e-20	1.1655836990676e-19
SLC37A4	16.231203070067	4.16071072547881	1445.29199867325	3.37599918723421e-20	1.1655836990676e-19
CHURC1	15.9695047370232	4.28686951076735	1444.20246096049	3.37612371765382e-20	1.1655836990676e-19
SCAMP1	13.032806534051	6.5613038643841	1439.96952104964	3.37668133792603e-20	1.1655836990676e-19
MCCC2	11.7757445532549	7.43804876072518	1439.48985715228	3.38571515412818e-20	1.16839130511645e-19
TRADD	17.2022019205236	2.83795299646041	1468.57128310393	3.3876421692364e-20	1.16874555328334e-19
RHBDF1	14.6873421176356	4.63250625887907	1441.79279997795	3.38918856014824e-20	1.16896833170779e-19
ARHGAP27	14.4401159320162	6.02197869647509	1439.55321051278	3.39104960909772e-20	1.16929949193622e-19
ZNF333	16.1488349487699	3.49585624651554	1452.304649632	3.39458856613605e-20	1.17020889773917e-19
H2AFY	11.5758196530003	7.93665419031676	1438.72378913065	3.40262506389429e-20	1.17266783601391e-19
NEU3	14.973436248671	3.90533759652071	1446.85031273023	3.40706760421407e-20	1.17388718967599e-19
RTN4IP1	16.2182326767956	3.97163215882657	1445.20002086496	3.41146124000646e-20	1.17508905079734e-19
TMEM120B	16.2195527904048	3.53140173079412	1450.32594873015	3.42590191062759e-20	1.17967752507044e-19
SYNGR2	12.4442104310129	7.08850646746807	1437.75652368958	3.42660009978855e-20	1.17967752507044e-19
ZNF184	14.2029693864378	5.11504758533634	1438.71020294501	3.43079838329827e-20	1.18080965836193e-19
SOD2	11.9828046984747	8.04242608307534	1437.38952143941	3.43409670701407e-20	1.18163152598981e-19
ENTPD7	14.187707221318	5.96764468048773	1437.61269229454	3.4366935333678e-20	1.18221164509888e-19
NOMO2	12.7818635564833	6.68421911278136	1437.15494502119	3.44244571444207e-20	1.18387660115908e-19
ZNF20	16.6990924991398	3.09296325598431	1459.26660561509	3.44534270747054e-20	1.18439713582829e-19
