	logFC	logCPM	F	PValue	FDR
CRNKL1	13.2524535964286	6.79250505490409	1353.92186018049	6.21689223816179e-20	1.91660437907605e-19
PHB2	12.9813301676604	7.00782176546814	1353.74039677064	6.22429437626799e-20	1.91843069839901e-19
ECSIT	16.1833364940961	3.95310930164854	1360.01246597455	6.23762971034518e-20	1.92182630296798e-19
RNF121	15.5263099036461	4.39020807204169	1356.74312033484	6.23827275938369e-20	1.92182630296798e-19
POLR2G	16.2511696446381	3.63842642796211	1363.48837122197	6.24915890091155e-20	1.92463065444631e-19
RTN2	18.3609575514491	1.07575354102475	1205.63732768534	6.25034148123213e-20	1.92463065444631e-19
IRF3	15.4184542438249	4.05823509358804	1358.34502940424	6.26662028486532e-20	1.92918559481184e-19
STK40	15.2337665056685	5.23970537817202	1353.60559995915	6.27425475097604e-20	1.93107783763144e-19
ROGDI	17.5311966461215	2.65055451830113	1384.16521626594	6.2802388910941e-20	1.93246136954742e-19
PRSS3	15.7509703095802	5.2461368695147	1353.49492926803	6.28740594524884e-20	1.93420814798257e-19
MBNL2	12.0712343229195	7.53649188503097	1351.9248816851	6.30555247595162e-20	1.93933093804209e-19
EPB49	15.2700842642233	4.28588796270117	1355.70345132069	6.31049998252733e-20	1.93997257822978e-19
SMPDL3B	17.1483435258638	3.64362560587075	1363.7127603909	6.31062811101482e-20	1.93997257822978e-19
ATOX1	17.5322798811205	2.51326410961859	1386.92592707503	6.31506587359193e-20	1.94087710095547e-19
TMED1	17.2657869864975	2.37047574925615	1390.92794373654	6.33358011806474e-20	1.94610644773585e-19
PTPRK	11.6177902876452	8.16975732045753	1351.12513781343	6.34074600689764e-20	1.94784715795324e-19
PSMD9	15.8306452903358	4.34117977222726	1354.75307396154	6.34924281193941e-20	1.94968080056095e-19
SIRT5	15.0176928979207	4.68528163430052	1353.07716246084	6.34971934969654e-20	1.94968080056095e-19
ALG14	15.8987607934274	4.6828465361168	1353.36731487801	6.35339775248826e-20	1.95034885121914e-19
WIZ	15.3459057161985	3.80821597617608	1359.2704791239	6.36589430012185e-20	1.95372291608611e-19
SEMA4G	15.6686679411907	5.41593994990254	1351.37807718687	6.3738527091324e-20	1.95570293881393e-19
PTPDC1	15.1863988676376	3.97206665788324	1356.72868609295	6.38654257792048e-20	1.9591334464389e-19
SIGIRR	16.626778361423	2.79682763296608	1380.51474960694	6.39213203343586e-20	1.9603847273621e-19
DDR1	13.2147561257786	6.95987618277418	1350.0547761458	6.39557900124599e-20	1.96097849887011e-19
RBBP5	13.5101989373904	6.00246817698452	1350.05864814797	6.40332564341504e-20	1.96289002186783e-19
DNAJC30	17.2622536940659	2.37082562673465	1389.10726927613	6.4112333746592e-20	1.96485001109095e-19
MCEE	16.3144144153128	3.89248334123804	1356.76595350427	6.41898484802976e-20	1.96634416679587e-19
CCDC127	15.9882843497867	3.65302673752049	1359.48254665727	6.41918259082816e-20	1.96634416679587e-19
SPRY1	14.5471842923729	5.01535316815814	1350.68593536795	6.42065380913852e-20	1.96634416679587e-19
CAMSAP1	13.542900652442	5.47564708401271	1349.92567865705	6.43102580655945e-20	1.96905600243772e-19
MPHOSPH9	13.6672208320099	5.8309106089309	1349.20746484278	6.44883144947673e-20	1.97404206091412e-19
KDM4B	14.7984242454828	4.73102342348384	1350.62086878706	6.45984954800103e-20	1.97694853297584e-19
ATP5J2-PTCD1	15.0004248558868	4.16244822930612	1353.39993643609	6.47212004919864e-20	1.98023682504831e-19
ZNF322	13.5205624193245	6.05071613560432	1348.54073943781	6.47494618756096e-20	1.98063461155677e-19
ABT1	15.8901186958949	4.02589881699725	1353.41385434846	6.51015676188494e-20	1.99093601820228e-19
CUX1	11.9032894847174	7.49567497960859	1347.36119041282	6.52066395189758e-20	1.99367956258371e-19
PHF6	12.7174850213617	6.56548130917555	1347.25440068779	6.53108431918867e-20	1.99639527505298e-19
MEA1	14.7893008745509	5.13008308013483	1347.64505967352	6.55573712635885e-20	2.00345919856396e-19
UBXN7	13.3349276763355	6.10557739872002	1346.58642550068	6.56661315885565e-20	2.00631055058351e-19
AGXT2L2	15.5894016171108	4.9739248858125	1347.91762636311	6.56854203725125e-20	2.00642756181417e-19
STARD7	12.6199428805439	7.67632953072035	1346.17244655559	6.57737409004022e-20	2.00832096576234e-19
PTK2B	14.8060838066414	5.91521035099534	1346.55104269239	6.57783529197603e-20	2.00832096576234e-19
C1orf56	17.735335488835	1.52783959550546	1333.67593052069	6.60961055709596e-20	2.01754786972127e-19
BZW1	11.9818575512303	8.39321233291087	1345.3535547329	6.61575132282472e-20	2.01894748222295e-19
PIAS2	14.3047000837856	5.64326276729005	1345.08347221797	6.65440708728033e-20	2.03026679797394e-19
WBSCR22	13.8609549528842	5.76790517744279	1344.91469790054	6.65760637689077e-20	2.03076552680765e-19
METTL8	13.4816955095488	5.50527792185097	1345.04468035856	6.66462925015111e-20	2.0324300525778e-19
CRYZL1	16.4384301814913	4.01033515422896	1350.76055323056	6.66776989622935e-20	2.03285382894055e-19
UBE2E1	14.327065812681	6.23129171727063	1344.50956663492	6.66915140120877e-20	2.03285382894055e-19
NQO2	17.0497823050648	2.98534262893955	1367.30602009814	6.69619869337315e-20	2.04061899134281e-19
RPL36AL	13.0333964085973	7.54122731667858	1343.04318842141	6.73107580618827e-20	2.05076603024689e-19
SNAP47	15.6936011844073	3.69658368058978	1352.40044954881	6.7346268580642e-20	2.05136639264997e-19
PCNXL3	14.4329382690357	5.37783135344326	1343.50399044598	6.74371842414849e-20	2.05365371719904e-19
ZNF572	16.8631938361037	2.69218476897683	1374.69250042798	6.756961839224e-20	2.05720402794483e-19
TMEM175	18.0995480809417	1.94845663858155	1372.18110726862	6.77557226303525e-20	2.06238631336619e-19
C19orf12	15.7566226372865	4.19735851053351	1346.50363526426	6.78240679262089e-20	2.06368357294121e-19
TRIP10	14.2355779907589	6.14139556669631	1342.26487011336	6.78301419382634e-20	2.06368357294121e-19
MKL1	14.9332297739832	4.56952386812571	1344.43346807782	6.78655368407215e-20	2.06418060769589e-19
RSC1A1	15.7092068588873	3.69143160856083	1351.62952412703	6.78911852275839e-20	2.06418060769589e-19
ASB8	15.556778595246	4.87731390343791	1343.61210281505	6.78941907254314e-20	2.06418060769589e-19
PXK	15.7901400645638	4.0821088370487	1346.81080233464	6.80430324174334e-20	2.06822135303482e-19
SEMA4B	14.3281425613462	5.52981562716607	1342.01267230364	6.81089485866041e-20	2.06974021003403e-19
KIAA1328	16.1979877762902	3.37797042612155	1355.89589661673	6.81859955706482e-20	2.07115019633235e-19
LSMD1	17.2839583502143	2.8671229248899	1367.65690444561	6.81872624156572e-20	2.07115019633235e-19
C1RL	14.7091964129794	4.99139932800392	1342.45422846523	6.82584945179712e-20	2.07264465580904e-19
CPSF7	14.2085016294112	5.57073197872076	1341.62755139273	6.82878305243912e-20	2.07264465580904e-19
STK16	16.4564447175574	3.66522240803125	1350.96153329298	6.82998844419867e-20	2.07264465580904e-19
FOXO1	15.4577784183978	5.99991091997968	1341.49758810507	6.83102529578916e-20	2.07264465580904e-19
TGFBR1	12.9154503751964	6.80300890325824	1341.12217216184	6.83163097122357e-20	2.07264465580904e-19
RNF135	15.9497578658419	4.19670511198018	1345.24313143477	6.85039524111829e-20	2.07785183067245e-19
YIF1A	16.4756126897684	3.6821774848687	1350.10676516738	6.87104917467807e-20	2.08362960836791e-19
RHOBTB1	14.2694770919051	4.77471184977776	1342.07428554142	6.87776190541854e-20	2.08517803715083e-19
OPHN1	14.8904386611505	4.98271352897546	1341.34689534899	6.88315322647465e-20	2.08619407233527e-19
CDKN2AIPNL	15.6519766199688	4.19642324196083	1344.44893478505	6.88432792342397e-20	2.08619407233527e-19
ANKRD54	17.3266540266468	3.15151776414111	1359.95877181507	6.88783690235261e-20	2.08677019504282e-19
MYO5C	12.3801049831115	7.64307738149075	1339.87377551511	6.89056568718302e-20	2.08710973288094e-19
ABCB8	16.7379884193956	3.07134108976896	1360.95479654912	6.91269513986945e-20	2.09332408353629e-19
