	SYMBOL	ENTREZID
693	BICD2	23299
694	COPS7A	50813
695	UBAP2	55833
696	HMOX2	3163
697	PPIG	9360
698	TMEM51	55092
699	SZRD1	26099
700	C10orf88	80007
701	APTX	54840
702	SGPL1	8879
703	CCDC91	55297
704	ARPP19	10776
705	CDYL	9425
706	HTATSF1	27336
707	RNF123	63891
708	DCUN1D4	23142
709	NFE2L2	4780
710	ZNF823	55552
711	ETV6	2120
712	TMEM43	79188
713	MRPL19	9801
714	LZTFL1	54585
715	COX18	285521
716	ASAP2	8853
717	BTF3L4	91408
718	AGPS	8540
719	ZNF627	199692
720	TBC1D22A	25771
721	SLC35E3	55508
722	CMAS	55907
723	PSKH1	5681
724	OCRL	4952
725	PUS7L	83448
726	RNF20	56254
727	TSPAN17	26262
728	YARS2	51067
729	MORC3	23515
730	GOLGA2	2801
731	CLDND1	56650
732	EIF2B1	1967
733	UPRT	139596
734	GTDC1	79712
735	COPG1	22820
736	GPKOW	27238
737	MRPL27	51264
738	MORF4L1	10933
739	SLC35A4	113829
740	SS18	6760
741	KIDINS220	57498
742	MFN2	9927
743	ZBTB11	27107
744	SF3B1	23451
745	EPS8	2059
746	FAM120A	23196
747	SLC25A51	92014
748	SP1	6667
749	INIP	58493
750	TFG	10342
751	GOLGA1	2800
752	CLPX	10845
753	PANK2	80025
754	WRNIP1	56897
755	USP19	10869
756	CRIPT	9419
757	SCYL2	55681
758	IPO13	9670
759	PPP1R12A	4659
760	NDUFB4	4710
761	GOLT1B	51026
762	ATG7	10533
763	LYPLA1	10434
764	CCNY	219771
765	SPAST	6683
766	OSGIN2	734
767	RAB28	9364
768	HPS1	3257
769	ACTR1A	10121
770	ZNF430	80264
771	PPP3R1	5534
772	GOSR1	9527
773	PDHB	5162
774	TYW1	55253
775	ATP6V1A	523
776	C6orf62	81688
777	SHISA5	51246
778	HIPK1	204851
779	ZNF746	155061
780	PIKFYVE	200576
781	CLTC	1213
782	CNPY2	10330
783	DPP3	10072
